first_name,last_name,bbr_url,image_url
Luguentz,Dort,https://www.basketball-reference.com/players/d/dortlu01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/dortlu01.jpg
Ayo,Dosunmu,https://www.basketball-reference.com/players/d/dosunay01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/dosunay01.jpg
Jeff,Dowtin Jr.,https://www.basketball-reference.com/players/d/dowtije01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/dowtije01.jpg
PJ,Dozier,https://www.basketball-reference.com/players/d/doziepj01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/doziepj01.jpg
Andre,Drummond,https://www.basketball-reference.com/players/d/drumman01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/drumman01.jpg
Chris,Duarte,https://www.basketball-reference.com/players/d/duartch01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/duartch01.jpg
Alex,Ducas,https://www.basketball-reference.com/players/d/ducasal01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/ducasal01.jpg
David,Duke Jr.,https://www.basketball-reference.com/players/d/dukeda01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/dukeda01.jpg
Kris,Dunn,https://www.basketball-reference.com/players/d/dunnkr01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/dunnkr01.jpg
Ryan,Dunn,https://www.basketball-reference.com/players/d/dunnry01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/dunnry01.jpg
Kevin,Durant,https://www.basketball-reference.com/players/d/duranke01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/duranke01.jpg
Jalen,Duren,https://www.basketball-reference.com/players/d/durenja01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/durenja01.jpg
Tari,Eason,https://www.basketball-reference.com/players/e/easonta01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/easonta01.jpg
Zach,Edey,https://www.basketball-reference.com/players/e/edeyza01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/edeyza01.jpg
VJ,Edgecombe,https://www.basketball-reference.com/players/e/edgecvj01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/edgecvj01.jpg
Anthony,Edwards,https://www.basketball-reference.com/players/e/edwaran01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/edwaran01.jpg
Jesse,Edwards,https://www.basketball-reference.com/players/e/edwarje01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/edwarje01.jpg
Justin,Edwards,https://www.basketball-reference.com/players/e/edwarju01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/edwarju01.jpg
Kessler,Edwards,https://www.basketball-reference.com/players/e/edwarke02.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/edwarke02.jpg
Keon,Ellis,https://www.basketball-reference.com/players/e/elliske01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/elliske01.jpg
Joel,Embiid,https://www.basketball-reference.com/players/e/embiijo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/embiijo01.jpg
Noa,Essengue,https://www.basketball-reference.com/players/e/essenno01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/essenno01.jpg
Tyson,Etienne,https://www.basketball-reference.com/players/e/etienty01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/etienty01.jpg
Drew,Eubanks,https://www.basketball-reference.com/players/e/eubandr01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/eubandr01.jpg
Tosan,Evbuomwan,https://www.basketball-reference.com/players/e/evbuoto01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/evbuoto01.jpg
Dante,Exum,https://www.basketball-reference.com/players/e/exumda01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/exumda01.jpg
Jeremiah,Fears,https://www.basketball-reference.com/players/f/fearsje01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/fearsje01.jpg
Bruno,Fernando,https://www.basketball-reference.com/players/f/fernabr01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/fernabr01.jpg
Kyle,Filipowski,https://www.basketball-reference.com/players/f/filipky01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/filipky01.jpg
Dorian,Finney-Smith,https://www.basketball-reference.com/players/f/finnedo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/finnedo01.jpg
Cooper,Flagg,https://www.basketball-reference.com/players/f/flaggco01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/flaggco01.jpg
Adam,Flagler,https://www.basketball-reference.com/players/f/flaglad01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/flaglad01.jpg
Rasheer,Fleming,https://www.basketball-reference.com/players/f/flemira01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/flemira01.jpg
Trentyn,Flowers,https://www.basketball-reference.com/players/f/flowetr01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/flowetr01.jpg
Malachi,Flynn,https://www.basketball-reference.com/players/f/flynnma01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/flynnma01.jpg
Simone,Fontecchio,https://www.basketball-reference.com/players/f/fontesi01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/fontesi01.jpg
De'Aaron,Fox,https://www.basketball-reference.com/players/f/foxde01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/foxde01.jpg
Enrique,Freeman,https://www.basketball-reference.com/players/f/freemen01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/freemen01.jpg
Markelle,Fultz,https://www.basketball-reference.com/players/f/fultzma01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/fultzma01.jpg
Johnny,Furphy,https://www.basketball-reference.com/players/f/furphjo01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/furphjo01.jpg
Daniel,Gafford,https://www.basketball-reference.com/players/g/gaffoda01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/gaffoda01.jpg
